UUID,Downloads,References,Comments,Funding Support,Protocol Name,Series Description,System Vendor,System Model,System Field Strength,Receiver Bandwidth,Number of Channels,Coil Name,Institution Name,Matrix Size,Field Of View,Number of Averages,Number of Slices,Number of Phases,Number of Repetition,Number of Contrasts,Trajectory,Parallel Imaging Factor,Repetition Time,Echo Time,Inversion Time,Flip Angle,Sequence Type,Echo Spacing,Upload Date
413469fd-9354-400c-88e3-b29e7c711a05,2153,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,31,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:12 a.m."
6a8fff64-9bba-4ce7-aa58-d024214b4d7a,4757,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,31,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:12 a.m."
bd01dd30-46e7-4415-bf04-ed4cc6ac2b64,1162,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:11 a.m."
6493682f-c9d3-44a7-8c0f-7fdf8b165410,1090,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:10 a.m."
48c95dcf-c074-499b-a63c-74f0bf7dff1f,1141,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,32,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:09 a.m."
de6d23d9-b1c4-46af-bc79-ce828f5cd63a,1064,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:08 a.m."
e3573a0f-34f7-4718-827a-027bf9dd4dea,1064,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 672 x 1,280 mm x 245.1 mm x 4.5 mm,1,31,1,1,1,cartesian,2.0 x 1.0,2300 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:07 a.m."
a496da39-848a-4fe8-8954-ff63df6785cb,1035,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 768 x 1,280 mm x 280.3 mm x 4.5 mm,1,31,1,1,1,cartesian,2.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:07 a.m."
516288da-d22b-4e92-9282-96665134c84a,1018,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,32,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:06 a.m."
90bc0b15-eea2-4abb-b0d2-f3fdad57bb43,1048,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,35,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:05 a.m."
cafc2ace-a826-4344-8cf9-896ec8bc6120,887,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 676 x 1,280 mm x 246.1 mm x 4.5 mm,1,38,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:03 a.m."
936c76f0-b3af-41f0-9b2d-f468f6a71225,812,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:02 a.m."
e5bea69e-3b5e-44e9-9307-c182b8caf6db,854,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,35,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:01 a.m."
7953af76-63f4-4b64-984a-adbc67ade280,810,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7 a.m."
cc52722b-8649-45b0-a1ea-8727c1687ad5,820,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,36,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 6:58 a.m."
18fe726f-1085-4c93-989b-0f79f084fbe4,824,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,31,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 6:57 a.m."
907e4462-c45d-4a62-8ade-553f2c217312,803,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,38,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 6:56 a.m."
af169293-1b83-4bd9-a8cf-4708325cdf73,782,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,35,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 6:54 a.m."
c22a01be-8903-4ad3-b58d-3781b2d20bf8,788,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,31,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 6:52 a.m."
3b2f97c1-6c7a-41b7-82bb-698f0b6fd3d0,793,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,34,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 6:51 a.m."
36ddbca0-c5fd-41a3-854d-4790649d89c2,664,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,38,1,1,1,cartesian,1.0 x 1.0,4000 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 11:06 a.m."
c155c00a-80af-421b-ae48-e7ed0dec9777,680,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,38,1,1,1,cartesian,1.0 x 1.0,4000 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 11:05 a.m."
d65e98c1-f893-48b5-b093-057b327a410c,629,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,35,1,1,1,cartesian,1.0 x 1.0,4260 ms,67 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 7, 2018, 11:04 a.m."
3c8b5e73-29ab-400d-b397-5f0bca4b7cb6,645,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,39,1,1,1,cartesian,1.0 x 1.0,4100 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 11:03 a.m."
34c9860c-c752-4062-aaf5-530d63272c98,642,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,40,1,1,1,cartesian,1.0 x 1.0,4210 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 11:03 a.m."
47a37b36-d970-47b4-ac8c-3b2c8d50d002,641,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,41,1,1,1,cartesian,1.0 x 1.0,4310 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 11:02 a.m."
2448503f-4fda-4e3e-b269-bfffa814962d,658,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,38,1,1,1,cartesian,1.0 x 1.0,4000 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 11:01 a.m."
36cb711d-5a2d-449a-b381-ab01c913055e,634,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,38,1,1,1,cartesian,1.0 x 1.0,4000 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 11:01 a.m."
14b0b5bd-25f4-4e6c-aa50-5a0048a495f8,646,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,37,1,1,1,cartesian,1.0 x 1.0,4000 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 11 a.m."
826bba6e-8dd3-4b41-a689-c0b2138294db,628,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,35,1,1,1,cartesian,1.0 x 1.0,4000 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 10:59 a.m."
fc58f24a-e6c7-4895-ac6d-60457badaa95,612,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,4000 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 10:58 a.m."
ac9a60ce-3d72-41c8-a0e7-a29d2022fd86,618,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,AX,AX,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,640 x 484 x 1,280 mm x 211.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,4000 ms,65 ms,100 ms,150 °,TurboSpinEcho,9.33 ms,"Aug. 7, 2018, 10:58 a.m."
